@relation 'STORM_trainingSet_8-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ' Size' numeric
@attribute ' LOC Touched' numeric
@attribute ' NR' numeric
@attribute ' NFix' numeric
@attribute ' NAuth' numeric
@attribute ' LOC Added' numeric
@attribute ' Max LOC Added' numeric
@attribute ' Average LOC Added' numeric
@attribute ' Churn' numeric
@attribute ' Max Churn' numeric
@attribute ' Average Churn' numeric
@attribute ' Bugginess' {yes,no}

@data
45,243,23,3,17,226,45,9.826087,209,45,9.086957,yes
60,282,23,3,17,265,60,11.521739,248,60,10.782609,yes
8,92,7,0,4,92,17,13.142857,92,17,13.142857,no
77,732,32,5,20,624,77,19.5,516,77,16.125,yes
184,910,23,0,18,765,184,33.26087,620,184,26.956522,no
154,790,17,0,13,660,154,38.823529,530,154,31.176471,no
181,780,37,2,20,718,181,19.405405,656,181,17.72973,no
32,164,7,0,4,164,32,23.428571,164,32,23.428571,no
21,131,7,0,4,131,21,18.714286,131,21,18.714286,no
160,753,30,1,20,669,160,22.3,585,160,19.5,yes
77,359,17,0,13,329,77,19.352941,299,77,17.588235,no
121,561,24,0,19,496,121,20.666667,431,121,17.958333,no
8,92,7,0,4,92,17,13.142857,92,17,13.142857,no
8,92,7,0,4,92,17,13.142857,92,17,13.142857,no
19,125,7,0,4,125,19,17.857143,125,19,17.857143,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
27,149,7,0,4,149,27,21.285714,149,27,21.285714,no
35,173,7,0,4,173,35,24.714286,173,35,24.714286,no
33,167,7,0,4,167,33,23.857143,167,33,23.857143,no
58,254,9,0,5,246,54,27.333333,238,54,26.444444,no
11,101,7,0,4,101,17,14.428571,101,17,14.428571,no
14,110,7,0,4,110,17,15.714286,110,17,15.714286,no
24,140,7,0,4,140,24,20,140,24,20,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
22,134,7,0,4,134,22,19.142857,134,22,19.142857,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
13,107,7,0,4,107,17,15.285714,107,17,15.285714,no
8,92,7,0,4,92,17,13.142857,92,17,13.142857,no
16,116,7,0,4,116,17,16.571429,116,17,16.571429,no
27,149,7,0,4,149,27,21.285714,149,27,21.285714,no
6,86,7,0,4,86,17,12.285714,86,17,12.285714,no
63,257,7,0,4,257,63,36.714286,257,63,36.714286,no
62,258,11,1,7,254,62,23.090909,250,62,22.727273,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
66,298,10,0,6,283,66,28.3,268,66,26.8,no
75,341,10,0,6,316,75,31.6,291,75,29.1,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
68,272,7,0,4,272,68,38.857143,272,68,38.857143,no
50,218,7,0,4,218,50,31.142857,218,50,31.142857,no
103,437,17,1,10,427,103,25.117647,417,103,24.529412,yes
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
59,245,7,0,4,245,59,35,245,59,35,no
92,344,7,0,4,344,92,49.142857,344,92,49.142857,no
7,89,7,0,4,89,17,12.714286,89,17,12.714286,no
10,98,7,0,4,98,17,14,98,17,14,no
30,158,7,0,4,158,30,22.571429,158,30,22.571429,no
168,614,22,0,15,593,168,26.954545,572,168,26,no
79,327,18,0,14,316,79,17.555556,305,79,16.944444,no
80,346,20,0,14,321,68,16.05,296,68,14.8,no
6,86,7,0,4,86,17,12.285714,86,17,12.285714,no
137,485,10,0,4,482,137,48.2,479,137,47.9,no
30,158,7,0,4,158,30,22.571429,158,30,22.571429,no
134,746,20,1,10,733,134,36.65,720,134,36,yes
